three_character,group,sub_chapter,chapter
B15,Acute hepatitis A,Viral Hepatitis,Certain infectious and parasitic diseases
B16,Acute hepatitis B,Viral Hepatitis,Certain infectious and parasitic diseases
B17,Other acute viral hepatitis,Viral Hepatitis,Certain infectious and parasitic diseases
B18,Chronic viral hepatitis,Viral Hepatitis,Certain infectious and parasitic diseases
B19,Unspecified viral hepatitis,Human immunodeficiency virus (HIV) disease,Certain infectious and parasitic diseases
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Human immunodeficiency virus (HIV) disease,Certain infectious and parasitic diseases
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Human immunodeficiency virus (HIV) disease,Certain infectious and parasitic diseases
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Human immunodeficiency virus (HIV) disease,Certain infectious and parasitic diseases
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,Human immunodeficiency virus (HIV) disease,Certain infectious and parasitic diseases
B24,Unspecified human immunodeficiency virus [HIV] disease,Other viral diseases,Certain infectious and parasitic diseases
B25,Cytomegaloviral disease,Other viral diseases,Certain infectious and parasitic diseases
B26,Mumps,Other viral diseases,Certain infectious and parasitic diseases
B27,Infectious mononucleosis,Other viral diseases,Certain infectious and parasitic diseases
B30,Viral conjunctivitis,Other viral diseases,Certain infectious and parasitic diseases
B33,"Other viral diseases, not elsewhere classified",Other viral diseases,Certain infectious and parasitic diseases
B34,Viral infection of unspecified site,Mycoses,Certain infectious and parasitic diseases
B35,Dermatophytosis,Mycoses,Certain infectious and parasitic diseases
B36,Other superficial mycoses,Mycoses,Certain infectious and parasitic diseases
B37,Candidiasis,Mycoses,Certain infectious and parasitic diseases
B38,Coccidioidomycosis,Mycoses,Certain infectious and parasitic diseases
B39,Histoplasmosis,Mycoses,Certain infectious and parasitic diseases
B40,Blastomycosis,Mycoses,Certain infectious and parasitic diseases
B41,Paracoccidioidomycosis,Mycoses,Certain infectious and parasitic diseases
B42,Sporotrichosis,Mycoses,Certain infectious and parasitic diseases
B43,Chromomycosis and phaeomycotic abscess,Mycoses,Certain infectious and parasitic diseases
B44,Aspergillosis,Mycoses,Certain infectious and parasitic diseases
B45,Cryptococcosis,Mycoses,Certain infectious and parasitic diseases
B46,Zygomycosis,Mycoses,Certain infectious and parasitic diseases
B47,Mycetoma,Mycoses,Certain infectious and parasitic diseases
B48,"Other mycoses, not elsewhere classified",Mycoses,Certain infectious and parasitic diseases
B49,Unspecified mycosis,Protozoal diseases,Certain infectious and parasitic diseases
B50,Plasmodium falciparum malaria,Protozoal diseases,Certain infectious and parasitic diseases
B51,Plasmodium vivax malaria,Protozoal diseases,Certain infectious and parasitic diseases
B52,Plasmodium malariae malaria,Protozoal diseases,Certain infectious and parasitic diseases
B53,Other parasitologically confirmed malaria,Protozoal diseases,Certain infectious and parasitic diseases
B54,Unspecified malaria,Protozoal diseases,Certain infectious and parasitic diseases
B55,Leishmaniasis,Protozoal diseases,Certain infectious and parasitic diseases
B56,African trypanosomiasis,Protozoal diseases,Certain infectious and parasitic diseases
B57,Chagas' disease,Protozoal diseases,Certain infectious and parasitic diseases
B58,Toxoplasmosis,Protozoal diseases,Certain infectious and parasitic diseases
B59,Pneumocystosis,Protozoal diseases,Certain infectious and parasitic diseases
B60,"Other protozoal diseases, not elsewhere classified",Helminthiases,Certain infectious and parasitic diseases
B64,Unspecified protozoal disease,Helminthiases,Certain infectious and parasitic diseases
B65,Schistosomiasis [bilharziasis],Helminthiases,Certain infectious and parasitic diseases
B66,Other fluke infections,Helminthiases,Certain infectious and parasitic diseases
B67,Echinococcosis,Helminthiases,Certain infectious and parasitic diseases
B68,Taeniasis,Helminthiases,Certain infectious and parasitic diseases
B69,Cysticercosis,Helminthiases,Certain infectious and parasitic diseases
B70,Diphyllobothriasis and sparganosis,Helminthiases,Certain infectious and parasitic diseases
B71,Other cestode infections,Helminthiases,Certain infectious and parasitic diseases
B72,Dracunculiasis,Helminthiases,Certain infectious and parasitic diseases
B73,Onchocerciasis,Helminthiases,Certain infectious and parasitic diseases
B74,Filariasis,Helminthiases,Certain infectious and parasitic diseases
B75,Trichinellosis,Helminthiases,Certain infectious and parasitic diseases
B76,Hookworm diseases,Helminthiases,Certain infectious and parasitic diseases
B77,Ascariasis,Helminthiases,Certain infectious and parasitic diseases
B78,Strongyloidiasis,Helminthiases,Certain infectious and parasitic diseases
B79,Trichuriasis,Helminthiases,Certain infectious and parasitic diseases
B80,Enterobiasis,Helminthiases,Certain infectious and parasitic diseases
B81,"Other intestinal helminthiases, not elsewhere classified",Helminthiases,Certain infectious and parasitic diseases
B82,Unspecified intestinal parasitism,"Pediculosis, acariasis and other infestations",Certain infectious and parasitic diseases
B83,Other helminthiases,"Pediculosis, acariasis and other infestations",Certain infectious and parasitic diseases
B85,Pediculosis and phthiriasis,"Pediculosis, acariasis and other infestations",Certain infectious and parasitic diseases
B86,Scabies,"Pediculosis, acariasis and other infestations",Certain infectious and parasitic diseases
B87,Myiasis,"Pediculosis, acariasis and other infestations",Certain infectious and parasitic diseases
B88,Other infestations,Sequelae of infectious and parasitic diseases,Certain infectious and parasitic diseases
B89,Unspecified parasitic disease,Sequelae of infectious and parasitic diseases,Certain infectious and parasitic diseases
B90,Sequelae of tuberculosis,Sequelae of infectious and parasitic diseases,Certain infectious and parasitic diseases
B91,Sequelae of poliomyelitis,Sequelae of infectious and parasitic diseases,Certain infectious and parasitic diseases
B92,Sequelae of leprosy,"Bacterial, viral and other infectious agents",Certain infectious and parasitic diseases
B94,Sequelae of other and unspecified infectious and parasitic diseases,"Bacterial, viral and other infectious agents",Certain infectious and parasitic diseases
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,"Bacterial, viral and other infectious agents",Certain infectious and parasitic diseases
B96,Other bacterial agents as the cause of diseases classified to other chapters,"Bacterial, viral and other infectious agents",Certain infectious and parasitic diseases
B97,Viral agents as the cause of diseases classified to other chapters,Other infectious diseases,Certain infectious and parasitic diseases
B99,Other and unspecified infectious diseases,Malignant neoplasms,Neoplasms
C00,Malignant neoplasm of lip,Malignant neoplasms,Neoplasms
C01,Malignant neoplasm of base of tongue,Malignant neoplasms,Neoplasms
C02,Malignant neoplasm of other and unspecified parts of tongue,Malignant neoplasms,Neoplasms
C03,Malignant neoplasm of gum,Malignant neoplasms,Neoplasms
C04,Malignant neoplasm of floor of mouth,Malignant neoplasms,Neoplasms
C05,Malignant neoplasm of palate,Malignant neoplasms,Neoplasms
C06,Malignant neoplasm of other and unspecified parts of mouth,Malignant neoplasms,Neoplasms
C07,Malignant neoplasm of parotid gland,Malignant neoplasms,Neoplasms
C08,Malignant neoplasm of other and unspecified major salivary glands,Malignant neoplasms,Neoplasms
C09,Malignant neoplasm of tonsil,Malignant neoplasms,Neoplasms
C10,Malignant neoplasm of oropharynx,Malignant neoplasms,Neoplasms
C11,Malignant neoplasm of nasopharynx,Malignant neoplasms,Neoplasms
C12,Malignant neoplasm of pyriform sinus,Malignant neoplasms,Neoplasms
C13,Malignant neoplasm of hypopharynx,Malignant neoplasms,Neoplasms
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Malignant neoplasms,Neoplasms
C15,Malignant neoplasm of oesophagus,Malignant neoplasms,Neoplasms
C16,Malignant neoplasm of stomach,Malignant neoplasms,Neoplasms
C17,Malignant neoplasm of small intestine,Malignant neoplasms,Neoplasms
C18,Malignant neoplasm of colon,Malignant neoplasms,Neoplasms
C19,Malignant neoplasm of rectosigmoid junction,Malignant neoplasms,Neoplasms
C20,Malignant neoplasm of rectum,Malignant neoplasms,Neoplasms
C21,Malignant neoplasm of anus and anal canal,Malignant neoplasms,Neoplasms
C22,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasms,Neoplasms
C23,Malignant neoplasm of gallbladder,Malignant neoplasms,Neoplasms
C24,Malignant neoplasm of other and unspecified parts of biliary tract,Malignant neoplasms,Neoplasms
C25,Malignant neoplasm of pancreas,Malignant neoplasms,Neoplasms
C26,Malignant neoplasm of other and ill-defined digestive organs,Malignant neoplasms,Neoplasms
C30,Malignant neoplasm of nasal cavity and middle ear,Malignant neoplasms,Neoplasms
C31,Malignant neoplasm of accessory sinuses,Malignant neoplasms,Neoplasms
C32,Malignant neoplasm of larynx,Malignant neoplasms,Neoplasms
C33,Malignant neoplasm of trachea,Malignant neoplasms,Neoplasms
C34,Malignant neoplasm of bronchus and lung,Malignant neoplasms,Neoplasms
C37,Malignant neoplasm of thymus,Malignant neoplasms,Neoplasms
C38,"Malignant neoplasm of heart, mediastinum and pleura",Malignant neoplasms,Neoplasms
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Malignant neoplasms,Neoplasms
C40,Malignant neoplasm of bone and articular cartilage of limbs,Malignant neoplasms,Neoplasms
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Malignant neoplasms,Neoplasms
C43,Malignant melanoma of skin,Malignant neoplasms,Neoplasms
C44,Other malignant neoplasms of skin,Malignant neoplasms,Neoplasms
C45,Mesothelioma,Malignant neoplasms,Neoplasms
C46,Kaposi's sarcoma,Malignant neoplasms,Neoplasms
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,Malignant neoplasms,Neoplasms
C48,Malignant neoplasm of retroperitoneum and peritoneum,Malignant neoplasms,Neoplasms
C49,Malignant neoplasm of other connective and soft tissue,Malignant neoplasms,Neoplasms
C50,Malignant neoplasm of breast,Malignant neoplasms,Neoplasms
C51,Malignant neoplasm of vulva,Malignant neoplasms,Neoplasms
C52,Malignant neoplasm of vagina,Malignant neoplasms,Neoplasms
C53,Malignant neoplasm of cervix uteri,Malignant neoplasms,Neoplasms
C54,Malignant neoplasm of corpus uteri,Malignant neoplasms,Neoplasms
C55,"Malignant neoplasm of uterus, part unspecified",Malignant neoplasms,Neoplasms
C56,Malignant neoplasm of ovary,Malignant neoplasms,Neoplasms
C57,Malignant neoplasm of other and unspecified female genital organs,Malignant neoplasms,Neoplasms
C58,Malignant neoplasm of placenta,Malignant neoplasms,Neoplasms
C60,Malignant neoplasm of penis,Malignant neoplasms,Neoplasms
C61,Malignant neoplasm of prostate,Malignant neoplasms,Neoplasms
C62,Malignant neoplasm of testis,Malignant neoplasms,Neoplasms
C63,Malignant neoplasm of other and unspecified male genital organs,Malignant neoplasms,Neoplasms
C64,"Malignant neoplasm of kidney, except renal pelvis",Malignant neoplasms,Neoplasms
C65,Malignant neoplasm of renal pelvis,Malignant neoplasms,Neoplasms
C66,Malignant neoplasm of ureter,Malignant neoplasms,Neoplasms
C67,Malignant neoplasm of bladder,Malignant neoplasms,Neoplasms
C68,Malignant neoplasm of other and unspecified urinary organs,Malignant neoplasms,Neoplasms
C69,Malignant neoplasm of eye and adnexa,Malignant neoplasms,Neoplasms
C70,Malignant neoplasm of meninges,Malignant neoplasms,Neoplasms
C71,Malignant neoplasm of brain,Malignant neoplasms,Neoplasms
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts ofcentral nervous system",Malignant neoplasms,Neoplasms
C73,Malignant neoplasm of thyroid gland,Malignant neoplasms,Neoplasms
C74,Malignant neoplasm of adrenal gland,Malignant neoplasms,Neoplasms
C75,Malignant neoplasm of other endocrine glands and related structures,Malignant neoplasms,Neoplasms
C76,Malignant neoplasm of other and ill-defined sites,Malignant neoplasms,Neoplasms
C77,Secondary and unspecified malignant neoplasm of lymph nodes,Malignant neoplasms,Neoplasms
C78,Secondary malignant neoplasm of respiratory and digestive organs,Malignant neoplasms,Neoplasms
C79,Secondary malignant neoplasm of other sites,Malignant neoplasms,Neoplasms
C80,Malignant neoplasm without specification of site,Malignant neoplasms,Neoplasms
C81,Hodgkin's disease,Malignant neoplasms,Neoplasms
C82,Follicular [nodular] non-Hodgkin's lymphoma,Malignant neoplasms,Neoplasms
C83,Diffuse non-Hodgkin's lymphoma,Malignant neoplasms,Neoplasms
C84,Peripheral and cutaneous T-cell lymphomas,Malignant neoplasms,Neoplasms
C85,Other and unspecified types of non-Hodgkin's lymphoma,Malignant neoplasms,Neoplasms
C88,Malignant immunoproliferative diseases,Malignant neoplasms,Neoplasms
C90,Multiple myeloma and malignant plasma cell neoplasms,Malignant neoplasms,Neoplasms
C91,Lymphoid leukaemia,Malignant neoplasms,Neoplasms
C92,Myeloid leukaemia,Malignant neoplasms,Neoplasms
C93,Monocytic leukaemia,Malignant neoplasms,Neoplasms
C94,Other leukaemias of specified cell type,Malignant neoplasms,Neoplasms
C95,Leukaemia of unspecified cell type,Malignant neoplasms,Neoplasms
C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",Malignant neoplasms,Neoplasms
C97,Malignant neoplasms of independent (primary) multiple sites,Malignant neoplasms,Neoplasms
D00,"Carcinoma in situ of oral cavity, oesophagus and stomach",In situ neoplasms,Neoplasms
D01,Carcinoma in situ of other and unspecified digestive organs,In situ neoplasms,Neoplasms
D02,Carcinoma in situ of middle ear and respiratory system,In situ neoplasms,Neoplasms
D03,Melanoma in situ,In situ neoplasms,Neoplasms
D04,Carcinoma in situ of skin,In situ neoplasms,Neoplasms
D05,Carcinoma in situ of breast,In situ neoplasms,Neoplasms
D06,Carcinoma in situ of cervix uteri,In situ neoplasms,Neoplasms
D07,Carcinoma in situ of other and unspecified genital organs,In situ neoplasms,Neoplasms
D09,Carcinoma in situ of other and unspecified sites,In situ neoplasms,Neoplasms
D10,Benign neoplasm of mouth and pharynx,Benign neoplasms,Neoplasms
D11,Benign neoplasm of major salivary glands,Benign neoplasms,Neoplasms
D12,"Benign neoplasm of colon, rectum, anus and anal canal",Benign neoplasms,Neoplasms
D13,Benign neoplasm of other and ill-defined parts of digestive system,Benign neoplasms,Neoplasms
D14,Benign neoplasm of middle ear and respiratory system,Benign neoplasms,Neoplasms
D15,Benign neoplasm of other and unspecified intrathoracic organs,Benign neoplasms,Neoplasms
D16,Benign neoplasm of bone and articular cartilage,Benign neoplasms,Neoplasms
D17,Benign lipomatous neoplasm,Benign neoplasms,Neoplasms
D18,"Haemangioma and lymphangioma, any site",Benign neoplasms,Neoplasms
D19,Benign neoplasm of mesothelial tissue,Benign neoplasms,Neoplasms
D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,Benign neoplasms,Neoplasms
D21,Other benign neoplasms of connective and other soft tissue,Benign neoplasms,Neoplasms
D22,Melanocytic naevi,Benign neoplasms,Neoplasms
D23,Other benign neoplasms of skin,Benign neoplasms,Neoplasms
D24,Benign neoplasm of breast,Benign neoplasms,Neoplasms
D25,Leiomyoma of uterus,Benign neoplasms,Neoplasms
D26,Other benign neoplasms of uterus,Benign neoplasms,Neoplasms
D27,Benign neoplasm of ovary,Benign neoplasms,Neoplasms
D28,Benign neoplasm of other and unspecified female genital organs,Benign neoplasms,Neoplasms
D29,Benign neoplasm of male genital organs,Benign neoplasms,Neoplasms
D30,Benign neoplasm of urinary organs,Benign neoplasms,Neoplasms
D31,Benign neoplasm of eye and adnexa,Benign neoplasms,Neoplasms
D32,Benign neoplasm of meninges,Benign neoplasms,Neoplasms
D33,Benign neoplasm of brain and other parts of central nervous system,Benign neoplasms,Neoplasms
D34,Benign neoplasm of thyroid gland,Benign neoplasms,Neoplasms
D35,Benign neoplasm of other and unspecified endocrine glands,Benign neoplasms,Neoplasms
D36,Benign neoplasm of other and unspecified sites,Benign neoplasms,Neoplasms
D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,Neoplasms of uncertain or unknown behaviour,Neoplasms
D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,Neoplasms of uncertain or unknown behaviour,Neoplasms
D39,Neoplasm of uncertain or unknown behaviour of female genital organs,Neoplasms of uncertain or unknown behaviour,Neoplasms
D40,Neoplasm of uncertain or unknown behaviour of male genital organs,Neoplasms of uncertain or unknown behaviour,Neoplasms
D41,Neoplasm of uncertain or unknown behaviour of urinary organs,Neoplasms of uncertain or unknown behaviour,Neoplasms
D42,Neoplasm of uncertain or unknown behaviour of meninges,Neoplasms of uncertain or unknown behaviour,Neoplasms
D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system,Neoplasms of uncertain or unknown behaviour,Neoplasms
D44,Neoplasm of uncertain or unknown behaviour of endocrine glands,Neoplasms of uncertain or unknown behaviour,Neoplasms
D45,Polycythaemia vera,Neoplasms of uncertain or unknown behaviour,Neoplasms
D46,Myelodysplastic syndromes,Neoplasms of uncertain or unknown behaviour,Neoplasms
D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",Neoplasms of uncertain or unknown behaviour,Neoplasms
D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites,Neoplasms of uncertain or unknown behaviour,Neoplasms
D50,Iron deficiency anaemia,Nutritional anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D51,Vitamin B12 deficiency anaemia,Nutritional anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D52,Folate deficiency anaemia,Nutritional anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D53,Other nutritional anaemias,Nutritional anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D55,Anaemia due to enzyme disorders,Haemolytic anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D56,Thalassaemia,Haemolytic anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D57,Sickle-cell disorders,Haemolytic anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D58,Other hereditary haemolytic anaemias,Haemolytic anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D59,Acquired haemolytic anaemia,Haemolytic anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D60,Acquired pure red cell aplasia [erythroblastopenia],Aplastic and other anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D61,Other aplastic anaemias,Aplastic and other anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D62,Acute posthaemorrhagic anaemia,Aplastic and other anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D63,Anaemia in chronic diseases classified elsewhere,Aplastic and other anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D64,Other anaemias,Aplastic and other anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D65,Disseminated intravascular coagulation [defibrination syndrome],"Coagulation defects, purpura and other haemorrhagic conditions",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D66,Hereditary factor VIII deficiency,"Coagulation defects, purpura and other haemorrhagic conditions",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D67,Hereditary factor IX deficiency,"Coagulation defects, purpura and other haemorrhagic conditions",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D68,Other coagulation defects,"Coagulation defects, purpura and other haemorrhagic conditions",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
