three_character,group,sub_chapter
A83,Mosquito-borne viral encephalitis,Viral infections of the central nervous system
A84,Tick-borne viral encephalitis,Viral infections of the central nervous system
A85,"Other viral encephalitis, not elsewhere classified",Viral infections of the central nervous system
A86,Unspecified viral encephalitis,Viral infections of the central nervous system
A87,Viral meningitis,Viral infections of the central nervous system
A88,"Other viral infections of central nervous system, not elsewhere classified",Viral infections of the central nervous system
A89,Unspecified viral infection of central nervous system,Viral infections of the central nervous system
A90,Dengue fever [classical dengue],Arthropod-borne viral fevers and viral haemorrhagic fevers
A91,Dengue haemorrhagic fever,Arthropod-borne viral fevers and viral haemorrhagic fevers
A92,Other mosquito-borne viral fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers
A93,"Other arthropod-borne viral fevers, not elsewhere classified",Arthropod-borne viral fevers and viral haemorrhagic fevers
A94,Unspecified arthropod-borne viral fever,Arthropod-borne viral fevers and viral haemorrhagic fevers
A95,Yellow fever,Arthropod-borne viral fevers and viral haemorrhagic fevers
A96,Arenaviral haemorrhagic fever,Arthropod-borne viral fevers and viral haemorrhagic fevers
A98,"Other viral haemorrhagic fevers, not elsewhere classified",Arthropod-borne viral fevers and viral haemorrhagic fevers
A99,Unspecified viral haemorrhagic fever,Viral infections characterised by skin and mucous membrane lesions
B00,Herpesviral [herpes simplex] infections,Viral infections characterised by skin and mucous membrane lesions
B01,Varicella [chickenpox],Viral infections characterised by skin and mucous membrane lesions
B02,Zoster [herpes zoster],Viral infections characterised by skin and mucous membrane lesions
B03,Smallpox,Viral infections characterised by skin and mucous membrane lesions
B04,Monkeypox,Viral infections characterised by skin and mucous membrane lesions
B05,Measles,Viral infections characterised by skin and mucous membrane lesions
B06,Rubella [German measles],Viral infections characterised by skin and mucous membrane lesions
B07,Viral warts,Viral infections characterised by skin and mucous membrane lesions
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Viral infections characterised by skin and mucous membrane lesions
B09,Unspecified viral infection characterized by skin and mucousmembrane lesions,Viral Hepatitis
B15,Acute hepatitis A,Viral Hepatitis
B16,Acute hepatitis B,Viral Hepatitis
B17,Other acute viral hepatitis,Viral Hepatitis
B18,Chronic viral hepatitis,Viral Hepatitis
B19,Unspecified viral hepatitis,Human immunodeficiency virus (HIV) disease
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Human immunodeficiency virus (HIV) disease
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Human immunodeficiency virus (HIV) disease
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Human immunodeficiency virus (HIV) disease
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,Human immunodeficiency virus (HIV) disease
B24,Unspecified human immunodeficiency virus [HIV] disease,Other viral diseases
B25,Cytomegaloviral disease,Other viral diseases
B26,Mumps,Other viral diseases
B27,Infectious mononucleosis,Other viral diseases
B30,Viral conjunctivitis,Other viral diseases
B33,"Other viral diseases, not elsewhere classified",Other viral diseases
B34,Viral infection of unspecified site,Mycoses
B35,Dermatophytosis,Mycoses
B36,Other superficial mycoses,Mycoses
B37,Candidiasis,Mycoses
B38,Coccidioidomycosis,Mycoses
B39,Histoplasmosis,Mycoses
B40,Blastomycosis,Mycoses
B41,Paracoccidioidomycosis,Mycoses
B42,Sporotrichosis,Mycoses
B43,Chromomycosis and phaeomycotic abscess,Mycoses
B44,Aspergillosis,Mycoses
B45,Cryptococcosis,Mycoses
B46,Zygomycosis,Mycoses
B47,Mycetoma,Mycoses
B48,"Other mycoses, not elsewhere classified",Mycoses
B49,Unspecified mycosis,Protozoal diseases
B50,Plasmodium falciparum malaria,Protozoal diseases
B51,Plasmodium vivax malaria,Protozoal diseases
B52,Plasmodium malariae malaria,Protozoal diseases
B53,Other parasitologically confirmed malaria,Protozoal diseases
B54,Unspecified malaria,Protozoal diseases
B55,Leishmaniasis,Protozoal diseases
B56,African trypanosomiasis,Protozoal diseases
B57,Chagas' disease,Protozoal diseases
B58,Toxoplasmosis,Protozoal diseases
B59,Pneumocystosis,Protozoal diseases
B60,"Other protozoal diseases, not elsewhere classified",Helminthiases
B64,Unspecified protozoal disease,Helminthiases
B65,Schistosomiasis [bilharziasis],Helminthiases
B66,Other fluke infections,Helminthiases
B67,Echinococcosis,Helminthiases
B68,Taeniasis,Helminthiases
B69,Cysticercosis,Helminthiases
B70,Diphyllobothriasis and sparganosis,Helminthiases
B71,Other cestode infections,Helminthiases
B72,Dracunculiasis,Helminthiases
B73,Onchocerciasis,Helminthiases
B74,Filariasis,Helminthiases
B75,Trichinellosis,Helminthiases
B76,Hookworm diseases,Helminthiases
B77,Ascariasis,Helminthiases
B78,Strongyloidiasis,Helminthiases
B79,Trichuriasis,Helminthiases
B80,Enterobiasis,Helminthiases
B81,"Other intestinal helminthiases, not elsewhere classified",Helminthiases
B82,Unspecified intestinal parasitism,"Pediculosis, acariasis and other infestations"
B83,Other helminthiases,"Pediculosis, acariasis and other infestations"
B85,Pediculosis and phthiriasis,"Pediculosis, acariasis and other infestations"
B86,Scabies,"Pediculosis, acariasis and other infestations"
B87,Myiasis,"Pediculosis, acariasis and other infestations"
B88,Other infestations,Sequelae of infectious and parasitic diseases
B89,Unspecified parasitic disease,Sequelae of infectious and parasitic diseases
B90,Sequelae of tuberculosis,Sequelae of infectious and parasitic diseases
B91,Sequelae of poliomyelitis,Sequelae of infectious and parasitic diseases
B92,Sequelae of leprosy,"Bacterial, viral and other infectious agents"
B94,Sequelae of other and unspecified infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,"Bacterial, viral and other infectious agents"
B96,Other bacterial agents as the cause of diseases classified to other chapters,"Bacterial, viral and other infectious agents"
B97,Viral agents as the cause of diseases classified to other chapters,Other infectious diseases
B99,Other and unspecified infectious diseases,Malignant neoplasms
C00,Malignant neoplasm of lip,Malignant neoplasms
C01,Malignant neoplasm of base of tongue,Malignant neoplasms
C02,Malignant neoplasm of other and unspecified parts of tongue,Malignant neoplasms
C03,Malignant neoplasm of gum,Malignant neoplasms
C04,Malignant neoplasm of floor of mouth,Malignant neoplasms
C05,Malignant neoplasm of palate,Malignant neoplasms
C06,Malignant neoplasm of other and unspecified parts of mouth,Malignant neoplasms
C07,Malignant neoplasm of parotid gland,Malignant neoplasms
C08,Malignant neoplasm of other and unspecified major salivary glands,Malignant neoplasms
C09,Malignant neoplasm of tonsil,Malignant neoplasms
C10,Malignant neoplasm of oropharynx,Malignant neoplasms
C11,Malignant neoplasm of nasopharynx,Malignant neoplasms
C12,Malignant neoplasm of pyriform sinus,Malignant neoplasms
C13,Malignant neoplasm of hypopharynx,Malignant neoplasms
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Malignant neoplasms
C15,Malignant neoplasm of oesophagus,Malignant neoplasms
C16,Malignant neoplasm of stomach,Malignant neoplasms
C17,Malignant neoplasm of small intestine,Malignant neoplasms
C18,Malignant neoplasm of colon,Malignant neoplasms
C19,Malignant neoplasm of rectosigmoid junction,Malignant neoplasms
C20,Malignant neoplasm of rectum,Malignant neoplasms
C21,Malignant neoplasm of anus and anal canal,Malignant neoplasms
C22,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasms
C23,Malignant neoplasm of gallbladder,Malignant neoplasms
C24,Malignant neoplasm of other and unspecified parts of biliary tract,Malignant neoplasms
C25,Malignant neoplasm of pancreas,Malignant neoplasms
C26,Malignant neoplasm of other and ill-defined digestive organs,Malignant neoplasms
C30,Malignant neoplasm of nasal cavity and middle ear,Malignant neoplasms
C31,Malignant neoplasm of accessory sinuses,Malignant neoplasms
C32,Malignant neoplasm of larynx,Malignant neoplasms
C33,Malignant neoplasm of trachea,Malignant neoplasms
C34,Malignant neoplasm of bronchus and lung,Malignant neoplasms
C37,Malignant neoplasm of thymus,Malignant neoplasms
C38,"Malignant neoplasm of heart, mediastinum and pleura",Malignant neoplasms
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Malignant neoplasms
C40,Malignant neoplasm of bone and articular cartilage of limbs,Malignant neoplasms
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Malignant neoplasms
C43,Malignant melanoma of skin,Malignant neoplasms
C44,Other malignant neoplasms of skin,Malignant neoplasms
C45,Mesothelioma,Malignant neoplasms
C46,Kaposi's sarcoma,Malignant neoplasms
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,Malignant neoplasms
C48,Malignant neoplasm of retroperitoneum and peritoneum,Malignant neoplasms
C49,Malignant neoplasm of other connective and soft tissue,Malignant neoplasms
C50,Malignant neoplasm of breast,Malignant neoplasms
C51,Malignant neoplasm of vulva,Malignant neoplasms
C52,Malignant neoplasm of vagina,Malignant neoplasms
C53,Malignant neoplasm of cervix uteri,Malignant neoplasms
C54,Malignant neoplasm of corpus uteri,Malignant neoplasms
C55,"Malignant neoplasm of uterus, part unspecified",Malignant neoplasms
C56,Malignant neoplasm of ovary,Malignant neoplasms
C57,Malignant neoplasm of other and unspecified female genital organs,Malignant neoplasms
C58,Malignant neoplasm of placenta,Malignant neoplasms
C60,Malignant neoplasm of penis,Malignant neoplasms
C61,Malignant neoplasm of prostate,Malignant neoplasms
C62,Malignant neoplasm of testis,Malignant neoplasms
C63,Malignant neoplasm of other and unspecified male genital organs,Malignant neoplasms
C64,"Malignant neoplasm of kidney, except renal pelvis",Malignant neoplasms
C65,Malignant neoplasm of renal pelvis,Malignant neoplasms
C66,Malignant neoplasm of ureter,Malignant neoplasms
C67,Malignant neoplasm of bladder,Malignant neoplasms
C68,Malignant neoplasm of other and unspecified urinary organs,Malignant neoplasms
C69,Malignant neoplasm of eye and adnexa,Malignant neoplasms
C70,Malignant neoplasm of meninges,Malignant neoplasms
C71,Malignant neoplasm of brain,Malignant neoplasms
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts ofcentral nervous system",Malignant neoplasms
C73,Malignant neoplasm of thyroid gland,Malignant neoplasms
C74,Malignant neoplasm of adrenal gland,Malignant neoplasms
C75,Malignant neoplasm of other endocrine glands and related structures,Malignant neoplasms
C76,Malignant neoplasm of other and ill-defined sites,Malignant neoplasms
C77,Secondary and unspecified malignant neoplasm of lymph nodes,Malignant neoplasms
C78,Secondary malignant neoplasm of respiratory and digestive organs,Malignant neoplasms
C79,Secondary malignant neoplasm of other sites,Malignant neoplasms
C80,Malignant neoplasm without specification of site,Malignant neoplasms
C81,Hodgkin's disease,Malignant neoplasms
C82,Follicular [nodular] non-Hodgkin's lymphoma,Malignant neoplasms
C83,Diffuse non-Hodgkin's lymphoma,Malignant neoplasms
C84,Peripheral and cutaneous T-cell lymphomas,Malignant neoplasms
C85,Other and unspecified types of non-Hodgkin's lymphoma,Malignant neoplasms
C88,Malignant immunoproliferative diseases,Malignant neoplasms
C90,Multiple myeloma and malignant plasma cell neoplasms,Malignant neoplasms
C91,Lymphoid leukaemia,Malignant neoplasms
C92,Myeloid leukaemia,Malignant neoplasms
C93,Monocytic leukaemia,Malignant neoplasms
C94,Other leukaemias of specified cell type,Malignant neoplasms
C95,Leukaemia of unspecified cell type,Malignant neoplasms
C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",Malignant neoplasms
C97,Malignant neoplasms of independent (primary) multiple sites,Malignant neoplasms
D00,"Carcinoma in situ of oral cavity, oesophagus and stomach",In situ neoplasms
D01,Carcinoma in situ of other and unspecified digestive organs,In situ neoplasms
D02,Carcinoma in situ of middle ear and respiratory system,In situ neoplasms
D03,Melanoma in situ,In situ neoplasms
D04,Carcinoma in situ of skin,In situ neoplasms
D05,Carcinoma in situ of breast,In situ neoplasms
D06,Carcinoma in situ of cervix uteri,In situ neoplasms
D07,Carcinoma in situ of other and unspecified genital organs,In situ neoplasms
D09,Carcinoma in situ of other and unspecified sites,In situ neoplasms
D10,Benign neoplasm of mouth and pharynx,Benign neoplasms
D11,Benign neoplasm of major salivary glands,Benign neoplasms
D12,"Benign neoplasm of colon, rectum, anus and anal canal",Benign neoplasms
D13,Benign neoplasm of other and ill-defined parts of digestive system,Benign neoplasms
D14,Benign neoplasm of middle ear and respiratory system,Benign neoplasms
D15,Benign neoplasm of other and unspecified intrathoracic organs,Benign neoplasms
D16,Benign neoplasm of bone and articular cartilage,Benign neoplasms
D17,Benign lipomatous neoplasm,Benign neoplasms
D18,"Haemangioma and lymphangioma, any site",Benign neoplasms
D19,Benign neoplasm of mesothelial tissue,Benign neoplasms
D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,Benign neoplasms
D21,Other benign neoplasms of connective and other soft tissue,Benign neoplasms
D22,Melanocytic naevi,Benign neoplasms
D23,Other benign neoplasms of skin,Benign neoplasms
D24,Benign neoplasm of breast,Benign neoplasms
D25,Leiomyoma of uterus,Benign neoplasms
D26,Other benign neoplasms of uterus,Benign neoplasms
D27,Benign neoplasm of ovary,Benign neoplasms
D28,Benign neoplasm of other and unspecified female genital organs,Benign neoplasms
D29,Benign neoplasm of male genital organs,Benign neoplasms
D30,Benign neoplasm of urinary organs,Benign neoplasms
D31,Benign neoplasm of eye and adnexa,Benign neoplasms
D32,Benign neoplasm of meninges,Benign neoplasms
D33,Benign neoplasm of brain and other parts of central nervous system,Benign neoplasms
D34,Benign neoplasm of thyroid gland,Benign neoplasms
D35,Benign neoplasm of other and unspecified endocrine glands,Benign neoplasms
D36,Benign neoplasm of other and unspecified sites,Benign neoplasms
D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,Neoplasms of uncertain or unknown behaviour
D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,Neoplasms of uncertain or unknown behaviour
D39,Neoplasm of uncertain or unknown behaviour of female genital organs,Neoplasms of uncertain or unknown behaviour
D40,Neoplasm of uncertain or unknown behaviour of male genital organs,Neoplasms of uncertain or unknown behaviour
D41,Neoplasm of uncertain or unknown behaviour of urinary organs,Neoplasms of uncertain or unknown behaviour
D42,Neoplasm of uncertain or unknown behaviour of meninges,Neoplasms of uncertain or unknown behaviour
D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system,Neoplasms of uncertain or unknown behaviour
D44,Neoplasm of uncertain or unknown behaviour of endocrine glands,Neoplasms of uncertain or unknown behaviour
D45,Polycythaemia vera,Neoplasms of uncertain or unknown behaviour
D46,Myelodysplastic syndromes,Neoplasms of uncertain or unknown behaviour
D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",Neoplasms of uncertain or unknown behaviour
D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites,Neoplasms of uncertain or unknown behaviour
D50,Iron deficiency anaemia,Nutritional anaemias
D51,Vitamin B12 deficiency anaemia,Nutritional anaemias
D52,Folate deficiency anaemia,Nutritional anaemias
D53,Other nutritional anaemias,Nutritional anaemias
D55,Anaemia due to enzyme disorders,Haemolytic anaemias
D56,Thalassaemia,Haemolytic anaemias
D57,Sickle-cell disorders,Haemolytic anaemias
D58,Other hereditary haemolytic anaemias,Haemolytic anaemias
D59,Acquired haemolytic anaemia,Haemolytic anaemias
D60,Acquired pure red cell aplasia [erythroblastopenia],Aplastic and other anaemias
D61,Other aplastic anaemias,Aplastic and other anaemias
D62,Acute posthaemorrhagic anaemia,Aplastic and other anaemias
D63,Anaemia in chronic diseases classified elsewhere,Aplastic and other anaemias
D64,Other anaemias,Aplastic and other anaemias
D65,Disseminated intravascular coagulation [defibrination syndrome],"Coagulation defects, purpura and other haemorrhagic conditions"
D66,Hereditary factor VIII deficiency,"Coagulation defects, purpura and other haemorrhagic conditions"
D67,Hereditary factor IX deficiency,"Coagulation defects, purpura and other haemorrhagic conditions"
D68,Other coagulation defects,"Coagulation defects, purpura and other haemorrhagic conditions"
D69,Purpura and other haemorrhagic conditions,"Coagulation defects, purpura and other haemorrhagic conditions"
D70,Agranulocytosis,Other disease of blood and blood-forming organs
D71,Functional disorders of polymorphonuclear neutrophils,Other disease of blood and blood-forming organs
D72,Other disorders of white blood cells,Other disease of blood and blood-forming organs
D73,Diseases of spleen,Other disease of blood and blood-forming organs
D74,Methaemoglobinaemia,Other disease of blood and blood-forming organs
D75,Other diseases of blood and blood-forming organs,Other disease of blood and blood-forming organs
D76,Certain diseases involving lymphoreticular tissue and reticulohistiocytic system,Other disease of blood and blood-forming organs
D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere,Other disease of blood and blood-forming organs
D80,Immunodeficiency with predominantly antibody defects,Certain disorders involving the immune mechanism
D81,Combined immunodeficiencies,Certain disorders involving the immune mechanism
D82,Immunodeficiency associated with other major defects,Certain disorders involving the immune mechanism
D83,Common variable immunodeficiency,Certain disorders involving the immune mechanism
D84,Other immunodeficiencies,Certain disorders involving the immune mechanism
D86,Sarcoidosis,Certain disorders involving the immune mechanism
D89,"Other disorders involving the immune mechanism, not elsewhere classified",Certain disorders involving the immune mechanism
E00,Congenital iodine-deficiency syndrome,Disorders of the thyroid gland
E01,Iodine-deficiency-related thyroid disorders and allied conditions,Disorders of the thyroid gland
E02,Subclinical iodine-deficiency hypothyroidism,Disorders of the thyroid gland
E03,Other hypothyroidism,Disorders of the thyroid gland
E04,Other nontoxic goitre,Disorders of the thyroid gland
E05,Thyrotoxicosis [hyperthyroidism],Disorders of the thyroid gland
E06,Thyroiditis,Disorders of the thyroid gland
E07,Other disorders of thyroid,Disorders of the thyroid gland
E10,Insulin-dependent diabetes mellitus,Diabetes mellitus
E11,Non-insulin-dependent diabetes mellitus,Diabetes mellitus
E12,Malnutrition-related diabetes mellitus,Diabetes mellitus
E13,Other specified diabetes mellitus,Diabetes mellitus
E14,Unspecified diabetes mellitus,Diabetes mellitus
E15,Nondiabetic hypoglycaemic coma,Other disorders of glucose regulation and pancreatic internal secretion
E16,Other disorders of pancreatic internal secretion,Other disorders of glucose regulation and pancreatic internal secretion
E20,Hypoparathyroidism,Disorders of other endocrine glands
E21,Hyperparathyroidism and other disorders of parathyroid gland,Disorders of other endocrine glands
E22,Hyperfunction of pituitary gland,Disorders of other endocrine glands
E23,Hypofunction and other disorders of pituitary gland,Disorders of other endocrine glands
E24,Cushing's syndrome,Disorders of other endocrine glands
E25,Adrenogenital disorders,Disorders of other endocrine glands
E26,Hyperaldosteronism,Disorders of other endocrine glands
E27,Other disorders of adrenal gland,Disorders of other endocrine glands
E28,Ovarian dysfunction,Disorders of other endocrine glands
E29,Testicular dysfunction,Disorders of other endocrine glands
E30,"Disorders of puberty, not elsewhere classified",Disorders of other endocrine glands
E31,Polyglandular dysfunction,Disorders of other endocrine glands
E32,Diseases of thymus,Disorders of other endocrine glands
E34,Other endocrine disorders,Disorders of other endocrine glands
E35,Disorders of endocrine glands in diseases classified elsewhere,Disorders of other endocrine glands
E40,Kwashiorkor,Malnutrition
E41,Nutritional marasmus,Malnutrition
E42,Marasmic kwashiorkor,Malnutrition
E43,Unspecified severe protein-energy malnutrition,Malnutrition
E44,Protein-energy malnutrition of moderate and mild degree,Malnutrition
E45,Retarded development following protein-energy malnutrition,Malnutrition
E46,Unspecified protein-energy malnutrition,Malnutrition
E50,Vitamin A deficiency,Other nutritional deficiencies
E51,Thiamine deficiency,Other nutritional deficiencies
E52,Niacin deficiency [pellagra],Other nutritional deficiencies
E53,Deficiency of other B group vitamins,Other nutritional deficiencies
E54,Ascorbic acid deficiency,Other nutritional deficiencies
E55,Vitamin D deficiency,Other nutritional deficiencies
E56,Other vitamin deficiencies,Other nutritional deficiencies
E58,Dietary calcium deficiency,Other nutritional deficiencies
E59,Dietary selenium deficiency,Other nutritional deficiencies
E60,Dietary zinc deficiency,Other nutritional deficiencies
E61,Deficiency of other nutrient elements,Other nutritional deficiencies
E63,Other nutritional deficiencies,Other nutritional deficiencies
E64,Sequelae of malnutrition and other nutritional deficiencies,Other nutritional deficiencies
E65,Localized adiposity,Obesity and other hyperalimentation
E66,Obesity,Obesity and other hyperalimentation
E67,Other hyperalimentation,Obesity and other hyperalimentation
E68,Sequelae of hyperalimentation,Obesity and other hyperalimentation
E70,Disorders of aromatic amino-acid metabolism,Metabolic disorders
E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,Metabolic disorders
E72,Other disorders of amino-acid metabolism,Metabolic disorders
E73,Lactose intolerance,Metabolic disorders
E74,Other disorders of carbohydrate metabolism,Metabolic disorders
E75,Disorders of sphingolipid metabolism and other lipid storage disorders,Metabolic disorders
E76,Disorders of glycosaminoglycan metabolism,Metabolic disorders
E77,Disorders of glycoprotein metabolism,Metabolic disorders
E78,Disorders of lipoprotein metabolism and other lipidaemias,Metabolic disorders
E79,Disorders of purine and pyrimidine metabolism,Metabolic disorders
E80,Disorders of porphyrin and bilirubin metabolism,Metabolic disorders
E83,Disorders of mineral metabolism,Metabolic disorders
E84,Cystic fibrosis,Metabolic disorders
E85,Amyloidosis,Metabolic disorders
E86,Volume depletion,Metabolic disorders
E87,"Other disorders of fluid, electrolyte and acid-base balance",Metabolic disorders
E88,Other metabolic disorders,Metabolic disorders
E89,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Metabolic disorders
E90,Nutritional and metabolic disorders in diseases classified elsewhere,Metabolic disorders
F00,Dementia in Alzheimer's disease (G30.-+),"Organic, including symptomatic, mental disorders"
F01,Vascular dementia,"Organic, including symptomatic, mental disorders"
F02,Dementia in other diseases classified elsewhere,"Organic, including symptomatic, mental disorders"
F03,Unspecified dementia,"Organic, including symptomatic, mental disorders"
F04,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances","Organic, including symptomatic, mental disorders"
F05,"Delirium, not induced by alcohol and other psychoactive substances","Organic, including symptomatic, mental disorders"
F06,Other mental disorders due to brain damage and dysfunction and to physical disease,"Organic, including symptomatic, mental disorders"
F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction","Organic, including symptomatic, mental disorders"
F09,Unspecified organic or symptomatic mental disorder,"Organic, including symptomatic, mental disorders"
F10,Mental and behavioural disorders due to use of alcohol,Mental and behavioural disorders due to psychoactive substance use
F11,Mental and behavioural disorders due to use of opioids,Mental and behavioural disorders due to psychoactive substance use
F12,Mental and behavioural disorders due to use of cannabinoids,Mental and behavioural disorders due to psychoactive substance use
F13,Mental and behavioural disorders due to use of sedatives or hypnotics,Mental and behavioural disorders due to psychoactive substance use
F14,Mental and behavioural disorders due to use of cocaine,Mental and behavioural disorders due to psychoactive substance use
F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",Mental and behavioural disorders due to psychoactive substance use
F16,Mental and behavioural disorders due to use of hallucinogens,Mental and behavioural disorders due to psychoactive substance use
F17,Mental and behavioural disorders due to use of tobacco,Mental and behavioural disorders due to psychoactive substance use
F18,Mental and behavioural disorders due to use of volatile solvents,Mental and behavioural disorders due to psychoactive substance use
F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,Mental and behavioural disorders due to psychoactive substance use
F20,Schizophrenia,"Scizophrenia, schizotypal and delusional disorders"
F21,Schizotypal disorder,"Scizophrenia, schizotypal and delusional disorders"
F22,Persistent delusional disorders,"Scizophrenia, schizotypal and delusional disorders"
F23,Acute and transient psychotic disorders,"Scizophrenia, schizotypal and delusional disorders"
F24,Induced delusional disorder,"Scizophrenia, schizotypal and delusional disorders"
F25,Schizoaffective disorders,"Scizophrenia, schizotypal and delusional disorders"
F28,Other nonorganic psychotic disorders,"Scizophrenia, schizotypal and delusional disorders"
F29,Unspecified nonorganic psychosis,"Scizophrenia, schizotypal and delusional disorders"
F30,Manic episode,Mood (affective) disorders
F31,Bipolar affective disorder,Mood (affective) disorders
F32,Depressive episode,Mood (affective) disorders
F33,Recurrent depressive disorder,Mood (affective) disorders
F34,Persistent mood [affective] disorders,Mood (affective) disorders
F38,Other mood [affective] disorders,Mood (affective) disorders
F39,Unspecified mood [affective] disorder,Mood (affective) disorders
